,REPORT
540,1. there is a questioned mass in the upper outer left breast.
541,1. there is a questioned mass in the upper outer left breast at anterior depth.
542,1. there is a questioned mass in the upper outer left breast at mid depth.
543,1. there is a questioned mass in the upper outer left breast at posterior depth.
544,1. there is a questioned mass in the upper inner left breast.
545,1. there is a questioned mass in the upper inner left breast at anterior depth.
546,1. there is a questioned mass in the upper inner left breast at mid depth.
547,1. there is a questioned mass in the upper inner left breast at posterior depth.
548,1. there is a questioned mass in the lower outer left breast.
549,1. there is a questioned mass in the lower outer left breast at anterior depth.
550,1. there is a questioned mass in the lower outer left breast at mid depth.
551,1. there is a questioned mass in the lower outer left breast at posterior depth.
552,1. there is a questioned mass in the lower inner left breast.
553,1. there is a questioned mass in the lower inner left breast at anterior depth.
554,1. there is a questioned mass in the lower inner left breast at mid depth.
555,1. there is a questioned mass in the lower inner left breast at posterior depth.
556,1. there is a questioned mass in the subareolar left breast.
557,1. there is a questioned mass in the subareolar left breast at anterior depth.
558,1. there is a questioned mass in the subareolar left breast at mid depth.
559,1. there is a questioned mass in the subareolar left breast at posterior depth.
560,1. there is a questionable mass in the  left breast.
561,1. there is a questionable mass in the  left breast at anterior depth.
562,1. there is a questionable mass in the  left breast at mid depth.
563,1. there is a questionable mass in the  left breast at posterior depth.
564,1. there is a questionable mass in the upper left breast.
565,1. there is a questionable mass in the upper left breast at anterior depth.
566,1. there is a questionable mass in the upper left breast at mid depth.
567,1. there is a questionable mass in the upper left breast at posterior depth.
568,1. there is a questionable mass in the lower left breast.
569,1. there is a questionable mass in the lower left breast at anterior depth.
570,1. there is a questionable mass in the lower left breast at mid depth.
571,1. there is a questionable mass in the lower left breast at posterior depth.
572,1. there is a questionable mass in the inner left breast.
573,1. there is a questionable mass in the inner left breast at anterior depth.
574,1. there is a questionable mass in the inner left breast at mid depth.
575,1. there is a questionable mass in the inner left breast at posterior depth.
576,1. there is a questionable mass in the outer left breast.
577,1. there is a questionable mass in the outer left breast at anterior depth.
578,1. there is a questionable mass in the outer left breast at mid depth.
579,1. there is a questionable mass in the outer left breast at posterior depth.
580,1. there is a questionable mass in the upper outer left breast.
581,1. there is a questionable mass in the upper outer left breast at anterior depth.
582,1. there is a questionable mass in the upper outer left breast at mid depth.
583,1. there is a questionable mass in the upper outer left breast at posterior depth.
584,1. there is a questionable mass in the upper inner left breast.
585,1. there is a questionable mass in the upper inner left breast at anterior depth.
586,1. there is a questionable mass in the upper inner left breast at mid depth.
587,1. there is a questionable mass in the upper inner left breast at posterior depth.
588,1. there is a questionable mass in the lower outer left breast.
589,1. there is a questionable mass in the lower outer left breast at anterior depth.
590,1. there is a questionable mass in the lower outer left breast at mid depth.
591,1. there is a questionable mass in the lower outer left breast at posterior depth.
592,1. there is a questionable mass in the lower inner left breast.
593,1. there is a questionable mass in the lower inner left breast at anterior depth.
594,1. there is a questionable mass in the lower inner left breast at mid depth.
595,1. there is a questionable mass in the lower inner left breast at posterior depth.
596,1. there is a questionable mass in the subareolar left breast.
597,1. there is a questionable mass in the subareolar left breast at anterior depth.
598,1. there is a questionable mass in the subareolar left breast at mid depth.
599,1. there is a questionable mass in the subareolar left breast at posterior depth.
600,1. there is a obscured mass in the  left breast.
601,1. there is a obscured mass in the  left breast at anterior depth.
602,1. there is a obscured mass in the  left breast at mid depth.
603,1. there is a obscured mass in the  left breast at posterior depth.
604,1. there is a obscured mass in the upper left breast.
605,1. there is a obscured mass in the upper left breast at anterior depth.
606,1. there is a obscured mass in the upper left breast at mid depth.
607,1. there is a obscured mass in the upper left breast at posterior depth.
608,1. there is a obscured mass in the lower left breast.
609,1. there is a obscured mass in the lower left breast at anterior depth.
610,1. there is a obscured mass in the lower left breast at mid depth.
611,1. there is a obscured mass in the lower left breast at posterior depth.
612,1. there is a obscured mass in the inner left breast.
